#,運航会社,便名,出発地,出発時刻,到着地,到着時刻,区間マイル,アクション,料金
1,JAL,901,東京(羽田),6:20,沖縄(那覇),9:05,984,,13860
2,JAL,501,東京(羽田),6:25,札幌(新千歳),7:55,510,,13750
3,JAL,641,東京(羽田),6:25,鹿児島,8:20,601,,14410
4,JAL,303,東京(羽田),6:25,福岡,8:25,567,,14410
5,JAL,101,東京(羽田),6:30,大阪(伊丹),7:40,280,,10120
6,JTA,971,東京(羽田),6:30,石垣,10:00,1224,,17050
7,JAL,623,東京(羽田),6:30,熊本,8:20,568,,15070
8,JAL,253,東京(羽田),6:45,広島,8:10,414,,12540
9,J-AIR,161,東京(羽田),6:55,秋田,8:00,279,,11110
10,JAL,221,東京(羽田),7:00,大阪(関西),8:20,280,,10120
11,J-AIR,2050,福岡,7:00,大阪(伊丹),8:00,287,,8690
12,JAL,220,大阪(関西),7:00,東京(羽田),8:05,280,,10120
13,JAL,300,福岡,7:00,東京(羽田),8:35,567,,14410
14,JAL,453,東京(羽田),7:00,徳島,8:15,329,,12760
15,FDA,4381,名古屋(小牧),7:00,福岡,8:35,374,,17050
16,J-AIR,2241,大阪(伊丹),7:05,新潟,8:10,314,,9680
17,J-AIR,2345,大阪(伊丹),7:05,出雲,7:55,148,,10230
18,J-AIR,3681,福岡,7:05,奄美大島,8:15,360,,13750
19,JAL,102,大阪(伊丹),7:05,東京(羽田),8:10,280,,10120
20,JAL,305,東京(羽田),7:05,福岡,9:00,567,,14410
21,JAL,277,東京(羽田),7:05,出雲,8:30,405,,15620
22,J-AIR,2371,大阪(伊丹),7:10,長崎,8:35,330,,10230
23,JAL,490,高知,7:10,東京(羽田),8:25,393,,13090
24,JAL,474,高松,7:10,東京(羽田),8:25,354,,13310
25,JAL,232,岡山,7:10,東京(羽田),8:20,356,,11880
26,JAL,431,東京(羽田),7:10,松山,8:40,438,,13750
27,J-AIR,2401,大阪(伊丹),7:10,鹿児島,8:25,329,,10670
28,JTA,601,沖縄(那覇),7:10,石垣,8:15,247,,7590
29,J-AIR,2361,大阪(伊丹),7:10,大分,8:10,219,,9790
30,JTA,50,沖縄(那覇),7:10,福岡,8:50,537,,15730
31,JAL,565,東京(羽田),7:10,女満別,8:50,609,,14410
32,FDA,4401,名古屋(小牧),7:10,熊本,8:40,375,,18370
33,JTA,551,沖縄(那覇),7:15,宮古,8:10,177,,7150
34,J-AIR,2181,大阪(伊丹),7:15,花巻,8:40,474,,16500
35,J-AIR,2431,大阪(伊丹),7:15,宮崎,8:25,292,,10340
36,JTA,2,沖縄(那覇),7:15,大阪(関西),9:05,739,,13200
37,JAL,141,東京(羽田),7:15,青森,8:30,358,,14300
38,RAC,721,沖縄(那覇),7:15,与那国,8:35,316,,23430
39,JAC,3551,福岡,7:15,出雲,8:20,188,,13530
